"GEO_ID","NAME","B08528_001E","B08528_001M","B08528_002E","B08528_002M","B08528_003E","B08528_003M","B08528_004E","B08528_004M","B08528_005E","B08528_005M","B08528_006E","B08528_006M","B08528_007E","B08528_007M","B08528_008E","B08528_008M","B08528_009E","B08528_009M","B08528_010E","B08528_010M","B08528_011E","B08528_011M","B08528_012E","B08528_012M","B08528_013E","B08528_013M","B08528_014E","B08528_014M","B08528_015E","B08528_015M","B08528_016E","B08528_016M","B08528_017E","B08528_017M","B08528_018E","B08528_018M","B08528_019E","B08528_019M","B08528_020E","B08528_020M","B08528_021E","B08528_021M","B08528_022E","B08528_022M","B08528_023E","B08528_023M","B08528_024E","B08528_024M","B08528_025E","B08528_025M","B08528_026E","B08528_026M","B08528_027E","B08528_027M","B08528_028E","B08528_028M","B08528_029E","B08528_029M","B08528_030E","B08528_030M","B08528_031E","B08528_031M","B08528_032E","B08528_032M","B08528_033E","B08528_033M","B08528_034E","B08528_034M","B08528_035E","B08528_035M","B08528_036E","B08528_036M","B08528_037E","B08528_037M","B08528_038E","B08528_038M","B08528_039E","B08528_039M","B08528_040E","B08528_040M","B08528_041E","B08528_041M","B08528_042E","B08528_042M","B08528_043E","B08528_043M","B08528_044E","B08528_044M","B08528_045E","B08528_045M","B08528_046E","B08528_046M","B08528_047E","B08528_047M","B08528_048E","B08528_048M","B08528_049E","B08528_049M","B08528_050E","B08528_050M","B08528_051E","B08528_051M","B08528_052E","B08528_052M","B08528_053E","B08528_053M","B08528_054E","B08528_054M","B08528_055E","B08528_055M","B08528_056E","B08528_056M","B08528_057E","B08528_057M","B08528_058E","B08528_058M","B08528_059E","B08528_059M","B08528_060E","B08528_060M","B08528_061E","B08528_061M","B08528_062E","B08528_062M","B08528_063E","B08528_063M","B08528_064E","B08528_064M","B08528_065E","B08528_065M","B08528_066E","B08528_066M","B08528_067E","B08528_067M","B08528_068E","B08528_068M","B08528_069E","B08528_069M","B08528_070E","B08528_070M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Local government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Local government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!State government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!State government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Federal government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Federal government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Unpaid family workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Unpaid family workers","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Local government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Local government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!State government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!State government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Federal government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Federal government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Unpaid family workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Unpaid family workers","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Local government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Local government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!State government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!State government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Federal government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Federal government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Unpaid family workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Unpaid family workers","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Walked:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Walked:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Walked:!!Local government workers","Margin of Error!!Total:!!Walked:!!Local government workers","Estimate!!Total:!!Walked:!!State government workers","Margin of Error!!Total:!!Walked:!!State government workers","Estimate!!Total:!!Walked:!!Federal government workers","Margin of Error!!Total:!!Walked:!!Federal government workers","Estimate!!Total:!!Walked:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Walked:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Walked:!!Unpaid family workers","Margin of Error!!Total:!!Walked:!!Unpaid family workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Local government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Local government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!State government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!State government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Federal government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Federal government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Unpaid family workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Unpaid family workers","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Worked from home:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Worked from home:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Worked from home:!!Local government workers","Margin of Error!!Total:!!Worked from home:!!Local government workers","Estimate!!Total:!!Worked from home:!!State government workers","Margin of Error!!Total:!!Worked from home:!!State government workers","Estimate!!Total:!!Worked from home:!!Federal government workers","Margin of Error!!Total:!!Worked from home:!!Federal government workers","Estimate!!Total:!!Worked from home:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Worked from home:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Worked from home:!!Unpaid family workers","Margin of Error!!Total:!!Worked from home:!!Unpaid family workers",
"0400000US01","Alabama","2215805","16032","1549525","18198","1459216","18024","90309","6118","165799","9519","154345","6685","122258","5371","102350","6966","116874","6227","4654","1223","1780376","18437","1248357","18548","1178452","18529","69905","5764","136764","7949","133337","6264","101440","4915","79368","5704","77915","4981","3195","1055","177704","8380","122406","6194","115860","5817","6546","1608","13374","2207","13571","2028","10190","2191","6671","1706","10900","1779","592","426","6115","1504","4307","1373","4134","1312","173","196","793","630","372","293","503","367","95","128","45","48","0","210","25174","2960","15226","2348","14275","2278","951","457","1766","782","1576","643","3547","1307","1018","652","2020","886","21","40","26156","3262","18130","3080","17282","3052","848","440","2300","867","1463","614","1590","837","1096","538","1487","657","90","120","200280","8924","141099","7089","129213","6476","11886","2357","10802","1738","4026","1212","4988","1006","14102","2120","24507","3006","756","490",
"0400000US02","Alaska","364602","6339","198114","6425","185997","6246","12117","1939","37172","3587","34255","2513","28917","3237","46107","3802","19599","2442","438","314","232153","6421","125490","5173","118067","5208","7423","1360","23163","2503","22515","2343","18937","2682","31726","3061","10052","1457","270","260","45156","3916","25469","2768","24392","2732","1077","527","5657","1776","4822","1212","2076","606","5464","1412","1619","807","49","79","4272","1289","3209","1146","3144","1139","65","109","331","352","353","381","165","251","163","232","51","84","0","210","26760","2263","13530","1687","13171","1689","359","196","2956","790","2393","480","2069","712","5038","1042","774","386","0","210","22254","2160","13832","1883","13359","1881","473","360","1314","389","2769","537","2013","653","1402","685","856","373","68","108","34007","2711","16584","1966","13864","1752","2720","844","3751","1415","1403","544","3657","1020","2314","723","6247","1628","51","47",
"0400000US04","Arizona","3376456","19380","2463088","19089","2325976","20103","137112","7977","234390","9162","223038","10188","145172","8229","110886","5894","192025","10252","7857","2104","2231307","20710","1613990","19118","1536314","19147","77676","5919","155975","6971","171692","7977","93738","6581","82916","5464","109505","7742","3491","1349","332529","12474","239161","10540","225786","10112","13375","2385","20498","2869","25684","3401","14915","3187","10322","2500","20603","3083","1346","973","27461","3520","19108","2942","18587","2985","521","328","2358","1120","1711","683","2887","1212","991","586","325","267","81","134","57486","4088","40466","3692","38162","3696","2304","921","4987","1562","3447","1173","3532","1099","2098","923","2605","925","351","314","75994","6334","54905","5531","52697","5368","2208","969","6350","1638","2985","1036","3876","1479","2298","1052","5075","1399","505","465","651679","14883","495458","13546","454430","12776","41028","4703","44222","3886","17519","2513","26224","2604","12261","2051","53912","4409","2083","778",
"0400000US05","Arkansas","1316975","12676","927509","13122","872983","12968","54526","4195","98460","6009","86852","5426","80468","5492","38366","3414","82324","4568","2996","1014","1051986","12826","742210","13050","702172","12720","40038","3724","80394","5827","72723","4667","66250","4972","32453","3184","55763","3781","2193","883","109538","6484","75431","5596","70470","5464","4961","1211","7283","1268","11020","1774","6668","1454","1556","642","7278","1825","302","300","3380","1039","2601","813","2508","812","93","112","222","177","24","39","488","514","45","77","0","210","0","210","20700","2682","13608","2102","12987","2064","621","347","1643","744","533","318","1872","843","671","325","2331","1012","42","70","15577","2326","11158","2204","10652","2140","506","335","863","424","646","338","1109","670","643","494","1096","529","62","81","115794","6088","82501","5160","74194","4764","8307","1784","8055","1761","1906","730","4081","1161","2998","957","15856","2290","397","329",
"0400000US06","California","18633681","52996","13059913","58605","12292944","60626","766969","14996","1384235","18439","1493579","23239","767815","17704","535815","12790","1359418","24181","32906","3575","12205093","50757","8627063","51838","8166088","50964","460975","11555","888317","15342","1092906","19612","464488","12121","357932","10938","756787","17922","17600","2661","1832245","26882","1286086","25075","1208005","24478","78081","4905","136490","7574","155714","6719","55836","4707","54290","4470","137729","7044","6100","1791","493305","12422","355867","11353","348070","11181","7797","1297","36706","3263","33001","3061","24672","3542","13249","2195","28668","3277","1142","474","447576","13467","280263","10355","265419","9996","14844","2183","48317","3740","30103","3407","29115","3565","29390","3411","29562","3055","826","372","454525","12746","320159","11185","303849","11148","16310","2503","36312","3164","28392","2862","24609","2892","15077","2234","29113","3027","863","393","3200937","30211","2190475","25794","2001513","24641","188962","7451","238093","8401","153463","7140","169095","7692","65877","4285","377559","12613","6375","1321",
"0400000US08","Colorado","3122537","16363","2213078","18101","2055006","17352","158072","7507","248663","8458","230728","7777","110436","6006","131600","6240","184916","8101","3116","1042","2020003","18415","1422235","17880","1333458","17330","88777","5790","162983","6589","176776","6401","69163","4973","88046","5302","99321","5954","1479","589","246058","10578","168415","8855","154158","8120","14257","2223","22350","2734","23898","2989","5522","1166","8119","1334","17185","2845","569","469","51084","4868","36738","4082","36126","3989","612","580","3284","1241","3399","1444","3337","950","2886","1338","1378","803","62","106","79729","5838","50809","5150","47276","4817","3533","1131","5982","1656","4186","1305","5936","1361","8881","967","3735","1417","200","157","64798","4563","46357","4008","43503","3841","2854","880","5555","1205","3968","977","4327","932","2548","998","2042","763","1","6","660865","13693","488524","12550","440485","11471","48039","3989","48509","3385","18501","2234","22151","2882","21120","2445","61255","4625","805","669",
"0400000US09","Connecticut","1762976","15958","1232386","18238","1163822","17574","68564","5567","198477","8934","124802","6071","67188","4274","34789","3532","103234","6733","2100","853","1222716","16659","842306","15771","798651","14593","43655","4550","136196","8075","104418","5253","49704","3501","26688","3398","62356","4625","1048","643","136052","7685","97328","6098","91167","5920","6161","1768","14242","2381","9516","2162","4161","1134","1513","652","8950","2287","342","359","38547","4687","29208","3979","29105","3965","103","121","5266","1431","1870","901","1099","640","435","385","571","505","98","123","48400","4434","27736","3638","27124","3611","612","444","13121","2465","2399","913","1767","591","1294","651","1873","844","210","276","26960","3260","19701","2679","18891","2610","810","482","3859","1189","1064","731","312","184","351","308","1608","854","65","8","290301","8207","216107","7389","198884","7003","17223","2006","25793","3192","5535","1417","10145","1714","4508","1121","27876","3531","337","247",
"0400000US10","Delaware","483915","9248","347261","9410","325395","9473","21866","3268","47094","4396","17557","2253","36800","3539","14361","2151","20332","3001","510","472","351784","10154","250503","9560","237186","9547","13317","1995","34024","3542","15057","2281","29372","3219","9777","1902","13051","2209","0","210","34586","4043","25180","3310","22407","2935","2773","1653","3714","1403","957","473","2215","818","768","368","1752","926","0","210","5935","1643","4193","1373","4051","1354","142","211","961","721","135","131","331","368","145","176","170","202","0","210","10100","1959","6738","1677","5957","1490","781","590","1796","1153","105","79","981","384","214","209","266","238","0","210","7457","1570","5505","1325","5424","1332","81","103","848","509","197","163","547","339","165","273","11","18","184","303","74053","5135","55142","4386","50370","4178","4772","1432","5751","1436","1106","485","3354","1114","3292","1140","5082","1384","326","352",
"0400000US11","District of Columbia","693095","15425","308811","12475","292548","11812","16263","2309","127509","7768","31339","3679","18995","3448","178249","7073","27557","3507","635","397","315829","11327","143765","9173","137106","8772","6659","1538","48935","4205","18978","2850","9876","2608","82150","4627","11646","2270","479","319","45462","3944","20703","2598","20202","2578","501","293","6901","1897","2571","1111","839","469","11897","2156","2551","1078","0","210","139190","9338","57421","6111","55278","5896","2143","1216","26826","3425","5812","1604","3913","1079","42988","4411","2230","1155","0","210","38447","3115","16697","2397","15651","2345","1046","433","8423","1465","1156","521","1751","861","8887","1302","1533","622","0","210","27908","3019","14118","2424","13322","2324","796","491","5114","1117","463","301","323","230","7040","1340","850","513","0","210","126259","6489","56107","4549","50989","4147","5118","1358","31310","3442","2359","1034","2293","813","25287","3042","8747","1739","156","242",
"0400000US12","Florida","10325496","38188","7705214","40190","7051693","38985","653521","16593","697483","14988","652555","15886","284592","10077","305774","11194","659213","18187","20665","2812","7198550","45203","5332648","44515","4933199","44133","399449","11787","486781","13253","539450","14932","212261","8836","236024","10673","381822","13239","9564","1687","928906","20664","694042","17844","631502","17137","62540","5542","68360","5716","62884","4667","22008","2748","16058","2600","61876","5613","3678","1322","121903","8960","96154","8030","92775","8042","3379","981","10612","2440","3544","1165","3701","1263","1399","567","6405","1688","88","149","141236","7926","105967","6124","96627","6031","9340","1737","12078","2309","3497","973","5012","1476","6372","1796","7969","1710","341","286","234007","10326","184089","8778","173967","8138","10122","2120","14061","2490","6952","1738","6044","1639","6974","1614","15645","2395","242","238","1700894","29166","1292314","25547","1123623","23896","168691","9421","105591","6472","36228","3742","35566","3468","38947","3878","185496","10245","6752","1628",
"0400000US13","Georgia","5216093","22549","3766008","26481","3536906","28553","229102","10321","358850","13244","373940","13202","194929","9131","225785","9016","287623","11004","8958","1780","3685586","28333","2637381","28609","2496924","28798","140457","7860","258542","11157","309911","11886","143476","7371","163278","8280","168042","7937","4956","1122","462249","13884","328381","11498","306625","11387","21756","2815","31434","3964","35792","3978","14070","1908","16051","2558","35033","3625","1488","597","54015","5132","34861","4076","33264","4081","1597","807","5457","1351","2794","1130","4055","1125","4823","1450","2025","948","0","210","69085","5878","47313","4975","44320","4718","2993","1210","5991","1167","2273","875","5086","1155","4188","1048","3710","1161","524","433","93241","6892","70836","5774","67839","5715","2997","1059","4974","1496","3465","1126","3114","884","4129","1861","6437","1570","286","340","851917","19362","647236","17049","587934","15051","59302","5011","52452","4379","19705","3316","25128","3465","33316","3320","72376","4354","1704","913",
"0400000US15","Hawaii","699558","6880","409746","8590","380422","8653","29324","3243","52913","3340","33407","3469","63291","3671","93902","4894","45521","3072","778","452","448580","9011","261911","8100","246679","8024","15232","2138","31134","2490","24155","2751","40070","3024","66483","4135","24629","2241","198","175","104224","6758","63911","5349","58386","5225","5525","1173","8752","1396","4822","861","10315","1922","10030","1618","6257","1373","137","122","24482","2860","16954","2205","16497","2200","457","289","2032","537","1081","888","2229","751","1562","579","624","292","0","210","31786","3054","15576","2078","13893","1814","1683","872","3775","1143","656","415","3029","739","6897","1104","1769","774","84","134","24066","3370","13582","2246","12983","2236","599","324","1444","662","1314","528","2492","1337","3546","1414","1465","660","223","366","66420","4163","37812","3570","31984","3208","5828","1265","5776","1034","1379","602","5156","1158","5384","1065","10777","1700","136","123",
"0400000US16","Idaho","893756","10516","628900","12232","583136","11537","45764","3577","65688","4399","63227","4249","40822","3231","27731","2919","65628","3742","1760","741","643284","11707","460031","11449","431339","11120","28692","2412","45886","3995","49467","3626","29246","2782","19826","2435","38050","2820","778","438","79647","5382","54215","4628","49369","4195","4846","1229","6490","1385","6779","1385","2871","862","2060","779","7038","1399","194","150","5605","1237","2583","909","2395","829","188","200","376","206","252","228","559","330","1608","638","227","305","0","210","26085","3039","17315","2867","15755","2679","1560","759","2256","917","1199","419","2764","960","625","359","1838","627","88","103","19302","2449","13401","2110","12941","2063","460","317","1322","575","1301","614","1152","537","314","217","1645","724","167","272","119833","5850","81355","4460","71337","3671","10018","1769","9358","1518","4229","1132","4230","847","3298","906","16830","2273","533","392",
"0400000US17","Illinois","6182292","27633","4480892","28901","4217994","29400","262898","8514","583082","14562","479527","12684","200047","7817","139227","7585","288725","10697","10792","1655","4080827","32145","2925400","30701","2754251","31056","171149","6512","376151","10306","388054","12079","130860","6940","91004","6236","163271","6945","6087","1296","488865","14584","355364","11713","337611","11349","17753","2816","47243","4774","38943","3461","13584","1964","8768","2159","23428","3422","1535","734","347289","11635","263785","9804","256844","9753","6941","1566","38970","3633","14718","2335","12875","2734","9196","2670","7204","2107","541","463","162580","8406","108061","6733","102145","6589","5916","1564","25259","2910","8905","2138","8477","1236","4552","1298","6849","1408","477","339","122950","6634","92572","5829","86439","5502","6133","1940","11698","2065","6260","1630","4295","1111","1971","692","5793","1298","361","304","979781","16967","735710","14890","680704","13447","55006","4196","83761","5822","22647","2682","29956","2758","23736","3079","82180","6512","1791","655",
"0400000US18","Indiana","3235617","19430","2375365","18256","2272425","18199","102940","5987","321599","9854","215172","8269","105652","5856","63318","5483","149930","5618","4581","1219","2443301","21073","1803665","17992","1731462","18229","72203","5430","244988","9787","178281","7637","75733","5170","48320","4938","89663","4992","2651","960","316080","12078","238655","10090","227833","9678","10822","2027","27223","3376","25398","2294","6519","1636","4325","1501","13104","1950","856","523","18138","2769","12369","2662","12028","2634","341","250","2089","1031","446","409","2414","912","275","242","455","309","90","145","63095","4529","39547","3335","37128","3259","2419","749","8552","1439","2568","783","7499","1507","445","336","4336","1263","148","205","50146","4904","37406","4142","35889","4011","1517","637","4329","1151","2363","948","2686","984","839","493","2502","786","21","35","344857","9115","243723","7047","228085","7223","15638","2242","34418","2541","6116","1391","10801","1496","9114","2103","39870","3716","815","388",
"0400000US19","Iowa","1630583","11398","1143506","12269","1076743","12287","66763","4308","138594","4814","127901","5837","84980","4403","29109","2639","102453","5308","4040","1038","1237848","12913","876303","11959","829507","11805","46796","3547","108203","4447","109446","5276","58884","4047","23226","2264","59157","3585","2629","864","132460","6556","93876","5220","87989","5239","5887","1359","9875","1555","11155","1614","7095","1551","1636","565","8521","1875","302","168","12691","2410","6501","1674","6436","1679","65","117","1015","632","276","206","4008","1145","118","130","773","512","0","210","47417","3536","30340","3046","28276","2967","2064","651","4271","975","3248","734","4636","915","847","687","3872","830","203","154","21202","2682","12358","2128","11828","2060","530","307","2193","791","897","370","2620","1088","617","423","2425","673","92","108","178965","6195","124128","4905","112707","4656","11421","1758","13037","1619","2879","781","7737","1262","2665","937","27705","2692","814","481",
"0400000US20","Kansas","1473644","12773","1015457","13941","962992","13545","52465","4065","119921","6611","126791","6021","69744","5195","56118","3763","82614","4613","2999","955","1110917","14370","772752","13147","736468","12436","36284","3021","93923","6321","104140","5761","49345","3925","39641","3227","49067","3299","2049","837","124705","7195","83042","5774","80175","5690","2867","808","10215","1899","13459","1681","6295","1625","3659","1070","7909","1557","126","120","7261","1849","3929","1395","3913","1396","16","26","1303","392","417","417","1249","686","48","88","315","383","0","210","33028","2759","16459","2218","14959","2005","1500","773","2707","730","2353","668","4750","1199","4512","674","2111","593","136","128","22160","2573","16343","2222","15069","2097","1274","662","1492","719","1252","544","615","397","1147","572","1300","440","11","19","175573","7595","122932","5856","112408","5426","10524","1999","10281","1389","5170","1262","7490","1692","7111","1380","21912","2544","677","389",
"0400000US21","Kentucky","2050115","16077","1424840","17527","1361662","16877","63178","4810","179983","8101","144399","6505","99345","5936","81858","5720","116433","5700","3257","840","1562856","17263","1091582","18637","1045022","17956","46560","4081","136598","5979","118807","5996","74525","5030","62636","4942","76590","4867","2118","772","197214","9216","137691","7436","133062","7204","4629","1204","18295","3207","17996","2640","8540","1494","6405","1446","8010","1329","277","193","9754","2035","6989","1542","6989","1542","0","210","1064","719","555","405","715","463","164","212","267","201","0","210","39326","2832","22856","2487","21738","2451","1118","530","4573","984","859","480","3140","867","4454","633","3271","836","173","188","28083","3524","21018","3237","19925","3087","1093","523","1855","703","547","309","1284","645","822","622","2518","1033","39","70","212882","7980","144704","6457","134926","6390","9778","1658","17598","2103","5635","1099","11141","1534","7377","1717","25777","2648","650","312",
"0400000US22","Louisiana","2024582","17684","1391147","15703","1303207","16691","87940","5213","156866","7744","151739","8471","115131","6344","66208","4923","139873","7557","3618","1276","1590370","16226","1102034","14660","1038869","14926","63165","4583","117969","6169","131589","7577","92545","5081","52190","4523","92232","6382","1811","671","173310","8406","114835","6508","107094","6461","7741","1723","18235","3059","12516","2202","8728","1911","3562","1260","14399","3038","1035","887","15405","2386","12147","2179","11964","2188","183","205","738","377","1331","761","283","210","276","237","604","395","26","47","43339","4088","26819","3403","25542","3455","1277","610","4629","1171","1043","531","4290","1063","3686","826","2709","899","163","200","36801","4021","27044","3545","25798","3521","1246","628","3010","827","2044","875","1792","929","1122","705","1789","820","0","210","165357","7294","108268","5356","93940","5314","14328","1919","12285","2111","3216","885","7493","1323","5372","1295","28140","2725","583","384",
